InstanceType,memory_gb,vcpu,network
c6i.2xlarge,16.0,8,Up to 12500 Megabit
d3en.2xlarge,32.0,8,Up to 25 Gigabit
m6id.4xlarge,64.0,16,Up to 12500 Megabit
g5.8xlarge,128.0,32,25 Gigabit
g4dn.4xlarge,64.0,16,Up to 25 Gigabit
m4.16xlarge,256.0,64,20 Gigabit
t4g.medium,4.0,2,Up to 5 Gigabit
r6g.medium,8.0,1,Up to 10 Gigabit
c6g.4xlarge,32.0,16,Up to 10 Gigabit
m6id.12xlarge,192.0,48,18750 Megabit
c6gd.medium,2.0,1,Up to 10 Gigabit
r6gd.xlarge,32.0,4,Up to 10 Gigabit
g4dn.16xlarge,256.0,64,50 Gigabit
d3en.12xlarge,192.0,48,75 Gigabit
c6a.4xlarge,32.0,16,Up to 12500 Megabit
r6a.4xlarge,128.0,16,Up to 12500 Megabit
c6gn.4xlarge,32.0,16,25 Gigabit
z1d.3xlarge,96.0,12,Up to 10 Gigabit
c6g.2xlarge,16.0,8,Up to 10 Gigabit
hs1.8xlarge,117.0,16,10 Gigabit
m5ad.24xlarge,384.0,96,20 Gigabit
m6a.large,8.0,2,Up to 12500 Megabit
h1.16xlarge,256.0,64,25 Gigabit
d3en.xlarge,16.0,4,Up to 25 Gigabit
c5ad.4xlarge,32.0,16,Up to 10 Gigabit
r6id.8xlarge,256.0,32,12500 Megabit
vt1.6xlarge,48.0,24,6250 Megabit
r6a.48xlarge,1536.0,192,50000 Megabit
c5n.4xlarge,42.0,16,Up to 25 Gigabit
u-6tb1.112xlarge,6144.0,448,100 Gigabit
r6id.4xlarge,128.0,16,Up to 12500 Megabit
g5g.2xlarge,16.0,8,Up to 10 Gigabit
g5.48xlarge,768.0,192,100 Gigabit
t4g.nano,0.5,2,Up to 5 Gigabit
c5ad.xlarge,8.0,4,Up to 10 Gigabit
r6a.32xlarge,1024.0,128,50000 Megabit
m5dn.large,8.0,2,Up to 25 Gigabit
h1.2xlarge,32.0,8,Up to 10 Gigabit
m5n.12xlarge,192.0,48,50 Gigabit
r6gd.large,16.0,2,Up to 10 Gigabit
c6gd.2xlarge,16.0,8,Up to 10 Gigabit
t3a.nano,0.5,2,Up to 5 Gigabit
m6gd.4xlarge,64.0,16,Up to 10 Gigabit
g3.8xlarge,244.0,32,10 Gigabit
m6g.4xlarge,64.0,16,Up to 10 Gigabit
p3.8xlarge,244.0,32,10 Gigabit
c6a.32xlarge,256.0,128,50000 Megabit
z1d.6xlarge,192.0,24,10 Gigabit
f1.16xlarge,976.0,64,25 Gigabit
c6gn.2xlarge,16.0,8,Up to 25 Gigabit
c6g.12xlarge,96.0,48,20 Gigabit
r6id.large,16.0,2,Up to 12500 Megabit
f1.4xlarge,244.0,16,10 Gigabit
m6gd.large,8.0,2,Up to 10 Gigabit
r6id.24xlarge,768.0,96,37500 Megabit
t2.medium,4.0,2,Low to Moderate
d3en.6xlarge,96.0,24,40 Gigabit
t3a.medium,4.0,2,Up to 5 Gigabit
c6a.2xlarge,16.0,8,Up to 12500 Megabit
g3.4xlarge,122.0,16,Up to 10 Gigabit
c6gn.xlarge,8.0,4,Up to 25 Gigabit
c7g.12xlarge,96.0,48,22500 Megabit
d3en.8xlarge,128.0,32,50 Gigabit
u-18tb1.112xlarge,18432.0,448,100 Gigabit
c5ad.8xlarge,64.0,32,10 Gigabit
c7g.4xlarge,32.0,16,Up to 15 Gigabit
d3.2xlarge,64.0,8,Up to 15 Gigabit
is4gen.xlarge,24.0,4,Up to 25 Gigabit
r6gd.4xlarge,128.0,16,Up to 10 Gigabit
m6g.xlarge,16.0,4,Up to 10 Gigabit
r6gd.16xlarge,512.0,64,25 Gigabit
vt1.24xlarge,192.0,96,25000 Megabit
t3.nano,0.5,2,Up to 5 Gigabit
m6a.12xlarge,192.0,48,18750 Megabit
